date,readings_count,mean_glucose,min_glucose,max_glucose,fasting_glucose,std_glucose,time_in_range_pct,time_above_range_pct,time_below_range_pct
2024-07-27,508,116.498031496063,88.0,173.0,116.0,,,,
2024-07-28,464,123.71767241379312,82.0,213.0,213.0,,,,
2024-07-29,408,105.44117647058825,86.0,153.0,95.0,,,,
2024-07-30,451,104.72727272727272,83.0,130.0,107.0,,,,
2024-07-31,433,104.32101616628177,83.0,172.0,111.0,,,,
2024-08-01,446,101.8677130044843,86.0,134.0,122.0,,,,
2024-08-02,304,108.3092105263158,84.0,160.0,110.0,,,,
2024-08-03,440,97.80454545454543,84.0,174.0,95.0,,,,
2024-08-04,430,99.6906976744186,77.0,158.0,96.0,,,,
2024-08-05,471,105.05944798301486,78.0,173.0,106.0,,,,
2024-08-06,414,113.39371980676329,92.0,151.0,100.0,,,,
2024-08-07,496,104.7116935483871,81.0,142.0,88.0,,,,
2024-08-08,278,99.363309352518,73.0,131.0,103.0,,,,
2024-08-09,481,108.34719334719335,83.0,195.0,110.0,,,,
2024-08-10,108,105.1574074074074,92.0,121.0,118.0,,,,
2024-08-19,221,95.36199095022624,54.0,179.0,164.0,,,,
2024-08-20,496,99.58870967741936,52.0,153.0,90.0,,,,
2024-08-21,471,98.57961783439492,53.0,132.0,110.0,,,,
2024-08-22,492,106.8150406504065,53.0,173.0,97.0,,,,
2024-08-23,437,104.91304347826087,79.0,163.0,92.0,,,,
2024-08-24,485,101.88865979381444,64.0,154.0,106.0,,,,
2024-08-25,435,107.2551724137931,71.0,156.0,99.0,,,,
2024-08-26,457,110.835886214442,85.0,153.0,110.0,,,,
2024-08-27,440,107.51590909090908,90.0,144.0,110.0,,,,
2024-08-28,425,105.72470588235294,76.0,158.0,138.0,,,,
2024-08-29,447,110.36465324384788,88.0,175.0,117.0,,,,
2024-08-30,450,112.94,80.0,195.0,119.0,,,,
2024-08-31,460,116.26739130434784,88.0,171.0,103.0,,,,
2024-09-01,458,113.4475982532751,83.0,166.0,126.0,,,,
2024-09-02,455,106.94065934065934,93.0,162.0,127.0,,,,
2024-09-03,222,120.98648648648648,96.0,179.0,112.0,,,,
2024-09-04,217,112.99078341013823,98.0,130.0,112.0,,,,
2025-01-26,144,98.43055555555556,63.0,123.0,98.0,,,,
2025-01-27,660,104.08484848484848,56.0,179.0,110.0,,,,
2025-01-28,702,105.44586894586897,53.0,176.0,118.0,,,,
2025-01-29,688,107.84883720930232,53.0,161.0,107.0,,,,
2025-01-30,677,112.19940915805022,84.0,184.0,114.0,,,,
2025-01-31,682,114.86803519061584,78.0,189.0,123.0,,,,
2025-02-01,642,121.61838006230528,86.0,182.0,100.0,,,,
2025-02-02,663,115.95625942684768,81.0,180.0,114.0,,,,
2025-02-03,674,111.16172106824926,90.0,144.0,124.0,,,,
2025-02-04,667,118.29235382308846,78.0,197.0,115.0,,,,
2025-02-05,38,134.71052631578948,114.0,149.0,114.0,,,,
2025-02-06,27,117.37037037037037,110.0,131.0,131.0,,,,
2025-02-07,431,120.80742459396753,95.0,181.0,119.0,,,,
2025-03-24,21,111.0,82.0,123.0,82.0,,,,
2025-03-25,378,104.42592592592592,70.0,155.0,84.0,,,,
